Iteración 1: Delay: 0.000 ms, Th: 10.1 Mbits/sec, Pérdida de paquetes: 40/4462 (0%)
Iteración 2: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4462 (0%)
Iteración 3: Delay: 0.000 ms, Th: 10.2 Mbits/sec, Pérdida de paquetes: 4/4461 (0%)
Iteración 4: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 5: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 6: Delay: 0.000 ms, Th: 10.3 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 7: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 8: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 9: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4462 (0%)
Iteración 10: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4460 (0%)
Iteración 11: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 12: Delay: 0.000 ms, Th: 10.6 Mbits/sec, Pérdida de paquetes: 4/4462 (0%)
Iteración 13: Delay: 0.000 ms, Th: 10.3 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 14: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 15: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 16: Delay: 0.000 ms, Th: 10.3 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 17: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 1/4462 (0%)
Iteración 18: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4460 (0%)
Iteración 19: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 20: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 21: Delay: 0.000 ms, Th: 10.3 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 22: Delay: 0.000 ms, Th: 10.2 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 23: Delay: 0.000 ms, Th: 10.0 Mbits/sec, Pérdida de paquetes: 8/4461 (0%)
Iteración 24: Delay: 0.000 ms, Th: 10.2 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 25: Delay: 0.000 ms, Th: 10.6 Mbits/sec, Pérdida de paquetes: 0/4460 (0%)
Iteración 26: Delay: 0.000 ms, Th: 10.3 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 27: Delay: 0.000 ms, Th: 11.1 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 28: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 29: Delay: 0.000 ms, Th: 10.5 Mbits/sec, Pérdida de paquetes: 0/4461 (0%)
Iteración 30: Delay: 0.000 ms, Th: 10.4 Mbits/sec, Pérdida de paquetes: 0/4459 (0%)
